127.0.0.1, 2018-03-29 18:44:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000802
127.0.0.1, 2018-03-29 18:44:32, POST, /admin/default/site, HTTP/1.1, 303, 0.126921
127.0.0.1, 2018-03-29 18:44:32, GET, /admin/default/design/datamark, HTTP/1.1, 200, 0.508833
127.0.0.1, 2018-03-29 18:44:32, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.001009
127.0.0.1, 2018-03-29 18:44:32, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.001060
127.0.0.1, 2018-03-29 18:44:32, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.001237
127.0.0.1, 2018-03-29 18:44:32, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.001132
127.0.0.1, 2018-03-29 18:44:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000578
127.0.0.1, 2018-03-29 18:47:27, GET, /admin/default/design/datamark, HTTP/1.1, 200, 0.287477
127.0.0.1, 2018-03-30 17:59:58, GET, /, HTTP/1.1, 200, 1.344866
127.0.0.1, 2018-03-30 17:59:58, GET, /datamark/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001556
127.0.0.1, 2018-03-30 17:59:58, GET, /datamark/static/css/calendar.css, HTTP/1.1, 200, 0.001397
127.0.0.1, 2018-03-30 17:59:58, GET, /datamark/static/js/calendar.js, HTTP/1.1, 200, 0.001492
127.0.0.1, 2018-03-30 17:59:58, GET, /datamark/static/js/web2py.js, HTTP/1.1, 200, 0.001387
127.0.0.1, 2018-03-30 17:59:58, GET, /datamark/static/js/share.js, HTTP/1.1, 200, 0.001364
127.0.0.1, 2018-03-30 17:59:58, GET, /datamark/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.006039
127.0.0.1, 2018-03-30 17:59:58, GET, /datamark/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.005399
127.0.0.1, 2018-03-30 17:59:58, GET, /datamark/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001937
127.0.0.1, 2018-03-30 17:59:58, GET, /datamark/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001516
127.0.0.1, 2018-03-30 17:59:58, GET, /datamark/static/js/jquery.js, HTTP/1.1, 200, 0.013760
127.0.0.1, 2018-03-30 18:00:00, GET, /datamark/static/images/twitter.png, HTTP/1.1, 200, 0.002360
127.0.0.1, 2018-03-30 18:00:00, GET, /datamark/static/images/facebook.png, HTTP/1.1, 200, 0.001956
127.0.0.1, 2018-03-30 18:00:00, GET, /datamark/static/images/gplus-32.png, HTTP/1.1, 200, 0.002416
127.0.0.1, 2018-03-30 18:00:00, GET, /datamark/static/images/favicon.ico, HTTP/1.1, 200, 0.001394
127.0.0.1, 2018-03-30 18:00:01, GET, /admin, HTTP/1.1, 200, 0.470064
127.0.0.1, 2018-03-30 18:00:03, GET, /favicon.ico, HTTP/1.1, 500, 0.286219
127.0.0.1, 2018-03-30 18:00:04, POST, /admin, HTTP/1.1, 303, 0.028536
127.0.0.1, 2018-03-30 18:00:04, GET, /admin/site, HTTP/1.1, 200, 0.155785
127.0.0.1, 2018-03-30 18:00:06, POST, /admin/check_version, HTTP/1.1, 200, 0.630793
127.0.0.1, 2018-03-30 18:00:07, GET, /favicon.ico, HTTP/1.1, 500, 0.073958
127.0.0.1, 2018-03-30 18:06:44, GET, /admin/design/datamark, HTTP/1.1, 200, 0.494576
127.0.0.1, 2018-03-30 18:06:46, GET, /favicon.ico, HTTP/1.1, 500, 0.062896
127.0.0.1, 2018-03-30 18:06:57, GET, /appadmin, HTTP/1.1, 200, 0.284185
127.0.0.1, 2018-03-30 18:06:58, GET, /appadmin/hooks, HTTP/1.1, 200, 0.222171
127.0.0.1, 2018-03-31 15:33:42, GET, /, HTTP/1.1, 200, 0.886399
127.0.0.1, 2018-03-31 15:34:02, GET, /, HTTP/1.1, 200, 0.080352
127.0.0.1, 2018-03-31 15:34:28, GET, /refresh, HTTP/1.1, 500, 0.341058
